,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
396,69.4g,300kcal,<0.5g,4.2g,0.1g,69.4g,2.7g,0.05g,,Essential Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
397,68.3g,295kcal,<0.5g,6.7g,0.0g,66.5g,1.8g,0.0g,,Waitrose Chopped Dried Pitted Dates,,,,,,,,,,,,,,,,,,,,,,,,
398,71.8g,314kcal,1.0g,3.6g,0.2g,68.9g,2.7g,0.03g,,Waitrose Flame Raisins,,,,,,,,,,,,,,,,,,,,,,,,
399,80.5g,326kcal,<0.5g,0.5g,<0.1g,61.2g,<0.5g,0.02g,,Essential Glacé Cherries,,,,,,,,,,,,,,,,,,,,,,,,
400,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose dried apricots,,,,,,,,,,,,,,,,,,,,,,,,
401,75.9g,331kcal,1.1g,4.4g,0.5g,66.7g,2.3g,0.10g,,Essential Mixed Fruit,,,,,,,,,,,,,,,,,,,,,,,,
402,84.0g,347kcal,0.8g,1.5g,0.4g,78.0g,<0.5g,0.14g,,Cooks' Homebaking Crystallised Ginger,,,,,,,,,,,,,,,,,,,,,,,,
403,75.9g,331kcal,1.1g,4.4g,0.5g,66.7g,2.3g,0.10g,,Essential Mixed Fruit,,,,,,,,,,,,,,,,,,,,,,,,
404,69.3g,293kcal,0.6g,4.6g,0.3g,52.1g,<0.5g,0.25g,,Cooks' Homebaking Italian Cut Mixed Peel,,,,,,,,,,,,,,,,,,,,,,,,
405,69.3g,293kcal,<0.5g,2.0g,0.0g,69.3g,2.1g,0.15g,,Waitrose Cape Raisins,,,,,,,,,,,,,,,,,,,,,,,,
406,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose Dried Apricots,,,,,,,,,,,,,,,,,,,,,,,,
407,75.6g,326kcal,0.8g,3.6g,0.3g,68.9g,2.4g,0.0g,,Essential Currants,,,,,,,,,,,,,,,,,,,,,,,,
408,70.9g,314kcal,1.3g,5.2g,0.3g,64.5g,2.1g,0.01g,,Waitrose Orange River Choice Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
409,68.1g,297kcal,<0.5g,6.7g,0.1g,66.3g,1.8g,0.0g,,Waitrose Dried Pitted Dates,,,,,,,,,,,,,,,,,,,,,,,,
410,78.3g,341kcal,0.9g,4.0g,0.2g,66.6g,2.8g,0.04g,,Waitrose Vine Fruit Mix,,,,,,,,,,,,,,,,,,,,,,,,
411,75.1g,303kcal,<0.5g,<0.5g,0.1g,56.2g,<0.5g,0.03g,,Cooks' Homebaking Glace Cherries,,,,,,,,,,,,,,,,,,,,,,,,
412,68.0g,295kcal,<0.5g,4.0g,0.1g,68.0g,3.3g,0.03g,,Waitrose Duchy Dates,,,,,,,,,,,,,,,,,,,,,,,,
413,75.6g,326kcal,0.8g,3.6g,0.3g,68.9g,2.4g,0.0g,,Essential Currants,,,,,,,,,,,,,,,,,,,,,,,,
414,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose Chopped Dried Pitted Apricots,,,,,,,,,,,,,,,,,,,,,,,,
415,69.3g,293kcal,<0.5g,2.0g,0.0g,69.3g,2.1g,0.15g,,Waitrose Cape Raisins,,,,,,,,,,,,,,,,,,,,,,,,
416,50.2g,228kcal,0.5g,7.4g,0.2g,34.3g,2.1g,0.0g,,Waitrose Prunes with Stones,,,,,,,,,,,,,,,,,,,,,,,,
417,72.4g,309kcal,0.5g,4.0g,0.2g,56.4g,1.8g,0.05g,,Waitrose Sweet & Tangy Fruit Mix,,,,,,,,,,,,,,,,,,,,,,,,
418,52.3g,366kcal,13.9g,3.7g,1.2g,52.2g,6.0g,Trace,,Whitworths Dates & Walnuts,,,,,,,,,,,,,,,,,,,,,,,,
419,11.4g,667kcal,60.0g,4.6g,5.6g,1.1g,18.2g,0.01g,,Waitrose Walnut Pieces,,,,,,,,,,,,,,,,,,,,,,,,
420,6.0g,620kcal,53.0g,7.3g,4.3g,4.5g,26.0g,0.0g,,Waitrose Ground Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
421,4.6g,609kcal,52.0g,9.2g,4.1g,4.6g,26.1g,0.0g,,Waitrose Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
422,4.5g,699kcal,68.6g,1.9g,4.6g,3.9g,14.9g,0.0g,,Waitrose Pine Nut Kernels,,,,,,,,,,117% of NRV,,,,,,,,,,,,,,
423,8.0g,712kcal,69.0g,6.6g,6.4g,3.1g,11.4g,0.0g,,Waitrose pecan nuts halves,,,,,,,,,,,,,,,,,,,,,,,,
424,10.1g,619kcal,52.5g,10.9g,4.1g,4.9g,21.0g,0.0g,,Waitrose Toasted Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
425,8.2g,673kcal,62.4g,9.4g,4.5g,4.9g,15.0g,0.0g,,Waitrose Roasted Chopped Hazelnuts,,,,,,,,,,125% of NRV,,,,,,,,,,,,,,
426,4.2g,612kcal,52.5g,7.9g,4.0g,4.0g,26.8g,0.0g,,Waitrose Blanched Whole Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
427,6.0g,620kcal,53.0g,7.3g,4.3g,4.5g,26.0g,0.0g,,Waitrose Ground Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
428,17.2g,579kcal,45.4g,10.3g,5.6g,7.7g,20.3g,0.0g,,Waitrose Pistachio Nut Kernels,,,,,,,,,,,,,,,,,,,,,,,,
429,4.0g,711kcal,68.6g,5.8g,4.6g,3.9g,16.5g,0.0g,,Cooks' ingredients toasted pine nuts,,,,,,,,,,,,,,,,,,,,,,,,
430,6.0g,651kcal,61.2g,11.0g,4.7g,3.5g,13.7g,0.0g,,Waitrose Blanched Hazelnuts,,,,,,,,,,150% of NRV,,,,,,,,,,,,,,
431,4.6g,609kcal,52.0g,9.2g,4.1g,4.6g,26.1g,0.0g,,Waitrose Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
432,11.4g,667kcal,60.0g,4.6g,5.6g,1.1g,18.2g,0.01g,,Waitrose Walnut Halves,1% of NRV,,,,,,,,,,,,,,,,,,,,,,,
433,6.7g,646kcal,55.8g,7.4g,4.4g,4.0g,25.5g,Trace,,Whitwrth Ground Almonds,,,,,,,,,,,,,,,,,,,,,,,,
434,5.2g,627kcal,54.0g,6.5g,4.0g,3.4g,26.9g,0.08g,,Waitrose Chopped Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
435,9.1g,595kcal,49.9g,12.5g,3.8g,4.4g,21.2g,0.0g,,Waitrose Duchy Almonds,,,,,,,,,,217% of NRV,,,,,,,,,,,,,,
436,26.9g,582kcal,43.9g,3.3g,7.8g,5.9g,18.2g,0.03g,,Waitrose Duchy Cashew Nuts,78% of NRV,,,,,,,,,,,,,,,,,,,,,,,
437,11.4g,667kcal,60.0g,4.6g,5.6g,1.8g,18.2g,0.01g,,Waitrose Walnut Pieces,,,,,,,,,,,,,,,,,,,,,,,,
438,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Chopped Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
439,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Duchy Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
440,17.8g,582kcal,45.7g,7.7g,8.4g,5.5g,20.9g,0.02g,,Waitrose Cashew Nuts,70% of NRV,,,,,,,,,,,,,,,,,,,,,,,
441,5.2g,752kcal,75.8g,8.6g,12.1g,4.6g,7.9g,0.01g,,Waitrose Macadamia Nut Halves,,,,,,,,,,,,,,,,,,,,,,,,
442,21g,597kcal,48g,8.3g,6.2g,4.7g,22g,0.73g,,Graze Punchy Protein Nuts,,,,,,,,,,12mg,,,,,,,,,,,,,,
443,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
444,9.1g,610kcal,52g,13.7g,3.4g,3.4g,17.3g,1g,,I Love Snacks Californian Smoked Almonds,,,,,,,,,,,,,,,,,,,,,,,,
445,60g,448kcal,17g,7.7g,1.9g,6.2g,10g,0.73g,,Graze Smokehouse BBQ Crunch,,,,,,,,,,,,,,,,,,,,,,,,
446,34g,471kcal,24g,11g,4.3g,6.3g,25g,1.5g,,Graze Veggie Protein Power,,,,,,,,,,,,,,,,,,,,,,,,
447,40g,556kcal,37g,7.5g,8.2g,36g,12g,<0.1g,,Besana Tórta Caprese Classica,,,,,,,,,,,,,,,,,,,,,,,,
448,31.3g,588kcal,44.4g,12.8g,26.8g,27.9g,9.3g,0.01g,,Menier Swiss Dark Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
449,49.3g,505kcal,29.3g,9.8g,17.5g,46.1g,6.2g,0.0g,,Cooks' Ingredients Dark Chocolate Chips,,,,,,,,,,,,,,,,,,,,,,,,
