,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
675,36.1g,154kcal,<0.1g,,<0.1g,35.7g,<0.1g,<0.1g,,Fearne & Rosie Reduced Sugar Strawberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
676,36g,159kcal,<0.1g,,<0.1g,36g,1g,<0.1g,,Fearne & Rosie Reduced Sugar Raspberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
677,26g,106kcal,1.6g,,0.5g,18g,0.8g,<0.01g,,Opies Summer Berry Compote,,,,,,,,,,,,,,,,,,,,,,,,
678,67.1g,282kcal,0.2g,2.3g,0.0g,67.1g,0.4g,0.11g,,Pimm's Strawberry Tangerine & Mint Preserve,,,,,,,,,,,,,,,,,,,,,,,,
679,66g,270kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Black Cherry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
680,66g,269kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Greengage Conserve,,,,,,,,,,,,,,,,,,,,,,,,
681,66g,269kcal,0g,,0g,66g,0g,0g,,Essence apricot & amaretto conserve,,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,,,,Essence jam black forest,,,,,,,,,,,,,,,,,,,,,,,,
683,,,,,,,,,,Essence jam blueberry & lavender,,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,Essence jam strawberry & elderflower,,,,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,,,,"Essence jam blackberry, plum & ginger",,,,,,,,,,,,,,,,,,,,,,,,
686,65g,263kcal,0g,,0g,65g,0.4g,0g,,La Vieja Fábrica Seville Orange Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
687,59g,240kcal,0.1g,0.7g,0g,59g,0.3g,0g,,Bonne Maman Bitter Orange Fine Shred Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
688,65.6g,266kcal,<0.5g,<0.5g,0.0g,54.1g,<0.5g,0.13g,,Essential Seville Orange Marmalade Fine Cut,,,,,,,,,,,,,,,,,,,,,,,,
689,65g,266kcal,"0,1g",,0g,65g,0.6g,0g,,La Vieja Fábrica Seville St. Clements Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
690,65g,263kcal,0g,,0g,65g,0.4g,0g,,La Vieja Fábrica Seville Orange Thick Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
691,65.8g,267kcal,<0.5g,0.5g,0.0g,56.0g,<0.5g,0.17g,,Essential Seville Orange Marmalade Thick Cut,,,,,,,,,,,,,,,,,,,,,,,,
692,67g,269kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons 'Old Times' Orange Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
693,62.8g,254kcal,Trace,,Trace,53.7g,0.2g,0.20g,,Frank Cooper's Original Oxford Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
694,62.8g,254kcal,Trace,,Trace,56.9g,0.2g,0.10g,,Frank Cooper's Fine Cut Oxford Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
695,65.9g,267kcal,<0.5g,<0.5g,0.0g,57.9g,<0.5g,0.10g,,Essential Orange Marmalade With Ginger,,,,,,,,,,,,,,,,,,,,,,,,
696,69g,284kcal,0g,,0g,65g,0.6g,0g,,Wilkin & Sons 'Tawny' Orange Thick Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
697,66.3g,268kcal,<0.5g,<0.5g,0.0g,57.0g,<0.5g,0.15g,,Essential Seville Orange Marmalade No Peel,,,,,,,,,,,,,,,,,,,,,,,,
698,67g,269kcal,0g,,0g,67g,0g,0g,,Wilkin & Sons Ltd Orange & Tangerine Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
699,55.5g,231kcal,0.2g,,0.0g,53.8g,1.2g,0.3g,,Stokes Red Onion Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
700,65g,261kcal,<0.5g,,<0.1g,53g,<0.5g,0.24g,,Rose's Lemon & Lime Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
701,67g,266kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons No Peel Orange Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
702,66g,276kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Orange Malt Whisky Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
703,67.9g,272kcal,Trace,,Trace,66.2g,0.2g,Trace,,Robertson's Ma Made Thin Cut Seville Oranges,,,,,,,,,,,,,,,,,,,,,,,,
704,66g,270kcal,0g,,0g,65g,0g,0g,,Wilkin & Sons Ltd Tiptree Orange with Ginger Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
705,66g,270kcal,0g,,0g,65g,0g,0g,,Essence marmalade seville & cranberry,,,,,,,,,,,,,,,,,,,,,,,,
706,66g,270kcal,0g,,0g,65g,0g,0g,,Essence marmalade seville & plum,,,,,,,,,,,,,,,,,,,,,,,,
707,66g,270kcal,0g,,0g,65g,0g,0g,,Essence seville & lavender marmalade,,,,,,,,,,,,,,,,,,,,,,,,
708,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
709,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Duchy Pure Set Honey,,,,,,,,,,,,,,,,,,,,,,,,
710,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Pure Clear Honey,,,,,,,,,,,,,,,,,,,,,,,,
711,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Squeezy Honey,,,,,,,,,,,,,,,,,,,,,,,,
712,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Light & Mild Honey,,,,,,,,,,,,,,,,,,,,,,,,
713,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Pure Set Honey,,,,,,,,,,,,,,,,,,,,,,,,
714,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Dark & Rich Honey,,,,,,,,,,,,,,,,,,,,,,,,
715,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 250+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
716,,,,,,,,,,Littleover Apiary pure English honey,,,,,,,,,,,,,,,,,,,,,,,,
717,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
718,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
719,80.0g,327kcal,,,,78.0g,,,,Steens Raw Manuka Honey UMF10+,,,,,,,,,,,,,,,,,,,,,,,,
720,84.2,340kcal,0.2,,Trace,84.2,0.3,,,Littleover Apiary Pure English Set Honey,,,,,,,,,,,,,,,,0,,,,,,,,
721,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Duchy Pure Clear Honey,,,,,,,,,,,,,,,,,,,,,,,,
722,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
723,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 500+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
724,76.4g,307kcal,0g,0g,0g,76.4g,0.4g,0.03g,,Waitrose Orange Blossom Honey,,,,,,,,,,,,,,,,,,,,,,,,
725,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Supahoney,,,,,,,80mg,,,,,,,,,,,,,,,,,
726,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
727,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Scottish Heather Honey,,,,,,,,,,,,,,,,,,,,,,,,
728,8.0g,32.7kcal,<0.1g,,<0.1g,7.8g,<0.1g,<0.1g,,Steens Manuka Honey Blend UMF5+,,,,,,,,,,,,,,,,,,,,,,,,
729,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 100+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
730,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Greek Honey,,,,,,,,,,,,,,,,,,,,,,,,
731,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose English Honey,,,,,,,,,,,,,,,,,,,,,,,,
732,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Spreadable Honey,,,,,,,,,,,,,,,,,,,,,,,,
733,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
734,79.0g,320kcal,,,,79.0g,,,,Wainwright's Organic Zambian Forest Honey,,,,,,,,,,,,,,,,,,,,,,,,
735,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse British Honey,,,,,,,,,,,,,,,,,,,,,,,,
736,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,No.1 New Zealand Clover Honey,,,,,,,,,,,,,,,,,,,,,,,,
737,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,No.1 Mexican Yucatan Honey,,,,,,,,,,,,,,,,,,,,,,,,
738,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Organic Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
739,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Honey with Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,
740,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Australian blossom honey,,,,,,,,,,,,,,,,,,,,,,,,
741,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Ethiopian Honey,,,,,,,,,,,,,,,,,,,,,,,,
742,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Cut Comb in Acacia Honey Jar,,,,,,,,,,,,,,,,,,,,,,,,
743,9.5g,168.7kcal,0.0g,65.5g,0.0g,9.5g,0.0g,0.0g,,Troo Spoonful of Fibre Pure Inulin Syrup,,,,,,,,,,,,,,,,,,,,,,,,
744,76g,307kcal,<0.5g,<0.5g,<0.1g,76g,<0.5g,0.03g,,Hilltop Everyday Blossom Honey,,,,,,,,,,,,,,,,,,,,,,,,
745,12,596kcal,46,8.5,8.2,5.9,30,0,,Meridian Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
746,6.5,650kcal,55.8,11.8,4.4,4.0,25.4,0.0,,Meridian Crunchy Almond Butter,,,,,,,,,,,,,,,,,,,,,,,,
747,12,596kcal,46,8.5,8.2,5.9,30,0,,Meridian Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
748,18.9,659kcal,55.5,4.3,10.7,5.6,20.6,0.1,,Meridian crunchy cashew butter,,,,,,,,,,,,,,,,,,,,,,,,
749,8.1g,636kcal,52.9g,6.1g,9.2g,5.1g,28.9g,0.56g,,Essential Waitrose crunchy peanut butter,,,,,,,,,,,,,,,,,,,,,,,,
750,7.4g,643kcal,54.3g,6.7g,7.9g,3.8g,27.7g,1.0g,,Whole Earth Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
751,13,622kcal,51,6.5,6.2,5.3,25,0.0,,Meridian Rich Roast Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
752,10.2g,630kcal,51.6g,6.2g,9.5g,5.6g,28.2g,0.65g,,Essential Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
753,10.2g,630kcal,51.6g,6.2g,9.5g,5.6g,28.2g,0.65g,,Essential Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
754,12.1g,623kcal,50.4g,,6g,7.1g,26.6g,0.9g,,ManiLife Original Roast Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
755,13,622kcal,51,6.5,6.2,5.3,25,0.0,,Meridian Rich Roast Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
756,12g,580kcal,45g,7.9g,5.9g,5g,28g,2.1g,,Marmite Crunchy Peanut Butter,,,,,,,,,,,,,,,,,50mg,3.6mg,6.3mg,,,,,
757,9.2g,645kcal,54.5g,6.5g,7.2g,4.2g,26.3g,1.0g,,Whole Earth Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
758,2.6g,628kcal,53.0g,9.1g,5.1g,2.4g,30.6g,<0.1g,,Whole Earth Smooth Almond Butter,,,,,,,,,,,,,,,,,,,,,,,,
759,8.1g,636kcal,52.9g,6.1g,9.2g,5.1g,28.9g,0.56g,,Essential Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
760,11.6,596kcal,46.0,8.5,8.2,5.9,29.6,0.0,,Meridian Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
761,12.1g,623kcal,50.4g,,6g,7.1g,26.6g,0.9g,,ManiLife Original Roast Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
762,5.3g,626kcal,52.4g,9.0g,8.4g,2.6g,28.8g,0.84g,,Essential Wholenut Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
763,10.1g,619kcal,50.5g,,6g,5.5g,26.4g,0.9g,,ManiLife Deep Roast Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
764,10.3g,594kcal,46.3g,8.3g,7.9g,4.9g,28.9g,1.0g,,Whole Earth Crunchy Dark Roasted Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
765,6.4g,666kcal,57.1g,11.7g,5.5g,4.1g,25.6g,0.04g,,Whole Earth Crunchy Almond Butter,,,,,,,,,,,,,,,,,,,,,,,,
766,9.1g,613kcal,49.3g,8.8g,6.5g,6.4g,28.9g,1.1g,,ManiLife Deep Roast Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
767,6.5,650kcal,55.8,11.8,4.4,4.0,25.4,0.0,,Meridian Smooth Almond Butter,,,,,,,,,,,,,,,,,,,,,,,,
768,7.4g,643Kcal,54.3g,6.7g,7.9g,3.8g,27.7g,1.0g,,Whole Earth Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
769,17.4g,613kcal,48.8g,,8.1g,10.9g,23.7g,0g,,Whole Earth Chocolate & Hazelnut Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
770,11.6,596kcal,46.0,8.5,8.2,5.9,29.6,0.0,,Meridian Smooth Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
771,11.6,596kcal,46.0,8.5,8.2,5.9,29.6,0.0,,Meridian Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
772,41,619kcal,47,3.7,7.3,38,5.9,0.10,,Gü Hazelnut & Chocolate Velvety Spread,,,,,,,,,,,,,,,,,,,,,,,,
773,57.0g,584kcal,38.1g,0.8g,7.6g,36.8g,2.9g,0.54g,,Lotus Biscoff Spread,,,,,,,,,,,,,,,,,,,,,,,,
774,57.5,539kcal,30.9,,10.6,56.3,6.3,0.107,,Nutella,,,,,,,,,,,,,,,,,,,,,,,,
775,57.6,546kcal,31.6,,11,56.8,6,0.11,,Nutella,,,,,,,,,,,,,,,,,,,,,,,,
776,39,622kcal,48,4.1,7.1,36,6.4,0.10,,Gü Hazelnut & Chocolate Crunchy Spread,,,,,,,,,,,,,,,,,,,,,,,,
777,58.8g,571kcal,35.7g,0.9g,7.9g,36.2g,3.2g,0.60g,,Lotus Biscoff Crunchy Spread,,,,,,,,,,,,,,,,,,,,,,,,
778,51.5g,571kcal,37.2g,3.0g,7.2g,48.2g,6.0g,0.10g,,Essential Hazelnut Chocolate Spread,,,,,,,,,,,,,,,,0g,,,,,,,,
779,45,613kcal,46,2.0,12,43,4.2,0.43,,Gü Chocolate & Caramel Velvety Spread,,,,,,,,,,,,,,,,,,,,,,,,
780,49.4g,494kcal,36.6g,,7.6g,8.7g,6.4g,0.23g,,Jim Jams Hazelnut Chocolate Spread,,,,,,,,,,,,,,,,,,,,,,,,
781,54g,484kcal,37g,2.7g,8.6g,0.7g,3.4g,0.07g,,Jim Jams Dark Hazelnut Chocolate Spread,,,,,,,,,,,,,,,,,,,,,,,,
782,61g,305kcal,5.0g,1.3g,3.4g,51g,3.4g,0.75g,,Bonne Maman Salted Caramel,,,,,,,,,,,,,,,,,,,,,,,,
783,50.8g,497kcal,36.7g,,7.6g,10.1g,5.8g,0.28g,,Jim Jams Milk Chocolate Spread,,,,,,,,,,,,,,,,,,,,,,,,
784,50g,492kcal,39g,4.4g,9.1g,<0.5g,3.1g,<0.01g,,Jim Jams Dark Chocolate Orange Spread,,,,,,,,,,,,,,,,,,,,,,,,
785,68.9g,310kcal,2.1g,0.7g,1.3g,53.9g,3.6g,0.29g,,Cooks' Ingredients Dulce de Leche,,,,,,,,,,,,,,,,,,,,,,,,
786,55.7g,527kcal,29.6g,5.9g,5.1g,43.3g,6.3g,0.02g,,Mr Organic Vegan Chocolate Spread,,,,,,,,,,,,,,,,,,,,,,,,
787,30g,260kcal,<0.5g,,<0.1g,1.2g,34g,10.8g,,Marmite Yeast Extract,,,,,,,,,,,,,,,,,69mg,6.8mg,7.7mg,,,,,
788,30g,260kcal,<0.5g,,<0.1g,1.2g,34g,10.8g,,Marmite Yeast Extract Squeeze Me,,,,,,,,,,,,,,,,,69mg,6.8mg,7.7mg,,,,,
789,54.0g,392kcal,18.3g,0.5g,11.9g,51.7g,2.6g,0.54g,,No.1 Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,
790,61.8g,355kcal,10.6g,<0.5g,6.3g,60.8g,3.0g,0.25g,,Waitrose Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,
791,55,344kcal,13,0g,8.8g,54g,1.7g,0.05g,,Bonne Maman Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,
792,58g,359kcal,13g,,7.6g,54g,2g,0.28g,,Wilkin & Sons Ltd Tiptree Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,
793,66.9g,371kcal,10.4g,0.5g,7.4g,61.8g,2.1g,0.22g,,Waitrose Christmas Cranberry Curd,,,,,,,,,,,,,,,,,,,,,,,,
794,63.5g,357kcal,10.1g,<0.5g,6.0g,60.8g,3.0g,0.26g,,Waitrose Orange Curd,,,,,,,,,,,,,,,,,,,,,,,,
795,0.9g,9kcal,0.5g,,0.3g,0.3g,0.1g,0.1g,,Kallo 6 vegetable stock cubes very low salt,,,,,,,,,,,,,,,,,,,,,,,,
796,0.5g,7kcal,0.5g,<0.5g,0.3g,<0.5g,<0.5g,0.92g,,Knorr the chicken cube 8 cubes,,,,,,,,,,,,,,,,,,,,,,,,
797,<0.5g,5kcal,<0.5g,<0.5g,0.1g,<0.5g,<0.5g,0.78g,,Knorr vegetable stock pot,,,,,,,,,,,,,,,,,,,,,,,,
798,<0.5g,5kcal,<0.5g,<0.5g,0.2g,<0.5g,<0.5g,0.8g,,Knorr beef stock pot,,,,,,,,,,,,,,,,,,,,,,,,
799,<0.5g,7kcal,0.6g,<0.5g,0.4g,<0.5g,<0.5g,0.96g,,Knorr the vegetable cube 8 cubes,,,,,,,,,,,,,,,,,,,,,,,,
800,1.4g,8kcal,<0.5g,<0.5g,<0.1g,<0.5g,<0.5g,0.8g,,Knorr chicken stock pot,,,,,,,,,63.6mg,,,,,,,,,,,,,,,
801,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,99.8g,,Waitrose fine crystal sea salt,,,,,,,,,,,,,,,,,,,,,,,,
802,0.7g,7kcal,0.5g,,0.2g,0.2g,0.1g,0.1g,,Kallo 6 beef stock cubes very low salt,,,,,,,,,,,,,,,,,,,,,,,,
803,64.0g,377kcal,3.3g,25.3g,1.4g,0.6g,10.4g,0.05g,,Cooks' Ingredients black pepper corns,,,,,,,,,,,,,,,,,,,,,,,,
804,0.8g,7kcal,0.4g,,0.2g,0.2g,0.1g,0.1g,,Kallo 6 chicken stock cubes very low salt,,,,,,,,,,,,,,,,,,,,,,,,
805,1.3g,9kcal,<0.5g,<0.5g,0.2g,<0.5g,<0.5g,0.83g,,Knorr Lamb Stock Pot,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,Maldon sea salt flakes,,,,,,,,,,,,,,,,,,,,,,,,
807,0.6g,7kcal,0.5g,,0.2g,0.1g,0.1g,0.99g,,Kallo 8 chicken stock cubes,,,,,,,,,,,,,,,,,,,,,,,,
808,30.1g,245kcal,8.5g,,4.3g,10.5g,10.1g,44.6g,,Marigold Swiss vegetable bouillon powder,,,,,,,,,,,,,,,,,,,,,,,,
809,21.9g,121kcal,1.5g,2.2g,0.6g,1.9g,3.8g,1.04g,,Paxo Stuffing Mix Sage & Onion,,,,,,,,,,,,,,,,,,,,,,,,
810,<0.5g,14kcal,<0.5g,0.5g,<0.1g,<0.5g,2.5g,0.13g,,Cooks' ingredients Chicken Stock,,,,,,,,,,,,,,,,,,,,,,,,
811,62.6g,396kcal,14.5g,3.2g,10.2g,25.2g,2.1g,10.30g,,Bisto Reduced Salt Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
812,3g,15kcal,0.3g,0.1g,0.1g,0.8g,0.5g,1.2g,,Knorr gravy pot chicken gravy,,,,,,,,,,,,,,,,,,,,,,,,
813,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,99.9g,,Essential Table Salt,,,,,,,,,,,,,,,,,,,,,,,,
814,<0.5g,6kcal,<0.5g,<0.5g,0.3g,<0.5g,<0.5g,0.94g,,Knorr the beef cube 8 cubes,,,,,,,,,,,,,,,,,,,,,,,,
815,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,98.2g,,Waitrose coarse crystal sea salt,,,,,,,,,,,,,,,,,,,,,,,,
816,76.1g,380kcal,3.2g,4.4g,0.9g,2.4g,9.7g,0.93g,,Cooks' Ingredients panko breadcrumbs,,,,,,,,,,,,,,,,,,,,,,,,
817,0.7g,7kcal,0.4g,,0.2g,0.3g,0.0g,0.9g,,Kallo 8 vegetable stock cubes,,,,,,,,,,,,,,,,,,,,,,,,
818,59.8g,397kcal,16.3g,2.1g,11.2g,12.2g,1.7g,14.33g,,Bisto Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
819,<0.5g,7kcal,0.5g,<0.5g,0.4g,<0.5g,<0.5g,1g,,Knorr Fish Cube Gluten Free 8s,,,,,,,,,,,,,,,,,,,,,,,,
820,61.6g,400kcal,15.6g,2.1g,10.5g,16.7g,2.2g,11.90g,,Bisto Chicken Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
821,1g,11kcal,<0.5g,<0.5g,<0.1g,<0.5g,1.7g,0.56g,,Bovril beef extract,,,,,,,,,,,,,,,,,,,,,,,,
822,0.5g,7kcal,0.6g,<0.5g,0.4g,<0.5g,<0.5g,0.92g,,Knorr The Rich Beef Cube,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,Bart black peppercorns,,,,,,,,,,,,,,,,,,,,,,,,
824,0.5g,7kcal,0.5g,,0.3g,0g,0.1g,0.9g,,Kallo Organic Mushroom 6 Stock Cubes,,,,,,,,,,,,,,,,,,,,,,,,
825,46.8g,283kcal,4.1g,2.8g,1.0g,16.5g,13.5g,24.9g,,Oxo Chicken Stock Cubes 12s,,,,,,,,,,,,,,,,,,,,,,,,
826,76.9g,382kcal,2.8g,4.1g,0.9g,2.1g,10.4g,0.98g,,Cooks' ingredients bread crumbs,,,,,,,,,,,,,,,,,,,,,,,,
827,0.5g,7kcal,0.5g,<0.5g,0.3g,<0.5g,<0.5g,0.92g,,Knorr The Chicken Cube 20s,,,,,,,,,,,,,,,,,,,,,,,,
828,59.8g,397kcal,16.3g,2.1g,11.2g,12.2g,1.7g,14.33g,,Bisto Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
829,21.9g,121kcal,1.5g,2.2g,0.6g,1.9g,3.8g,1.04g,,Paxo Stuffing Mix Sage & Onion,,,,,,,,,,,,,,,,,,,,,,,,
830,35.7g,265kcal,4.9g,4.2g,2.4g,2.2g,17.4g,30.70g,,Oxo 12 Stock Cubes Beef,,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,,,,,Bart Fairtrade ground cinnamon,,,,,,,,,,,,,,,,,,,,,,,,
832,44.2g,470kcal,22.3g,10.5g,1.5g,2.3g,17.8g,0.42g,,Cooks' Ingredients ground cumin,,,,,,,,,,,,,,,,,,,,,,,,
833,61.9g,252kcal,<0.5g,1.6g,<0.1g,0.5g,<0.5g,23.66g,,Bisto The Original Gravy Powder,,,,,,,,,,,,,,,,,,,,,,,,
834,80.6g,456kcal,1.3g,53.1g,0.5g,2.2g,4.0g,0.03g,,Cooks' Ingredients ground cinnamon,,,,,,,,,,,,,,,,,,,,,,,,
835,49.1g,271kcal,4.6g,0.8g,2.2g,10.9g,7.9g,30.43g,,Oxo 12 Stock Cubes Vegetable,,,,,,,,,,,,,,,,,,,,,,,,
836,<0.5g,7kcal,0.5g,<0.5g,0.3g,<0.5g,<0.5g,0.93g,,Knorr the pork cube 8 cubes,,,,,,,,,,,,,,,,,,,,,,,,
837,67.7g,350kcal,6.7g,1.3g,3.0g,1.7g,4.1g,11.20g,,Bisto Best Chicken Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
838,4.4g,46kcal,1.3g,3.0g,0.8g,1.2g,2.6g,0.46g,,Cooks' Ingredients ground turmeric,,,,,,,,,,,,,,,,0.2g,,,,,,,,
839,,,,,,,,,,Saxa table salt,,,,,,,,,,,,,,,,,,,,,,,,
840,,,,,,,,,,Cornish Sea Salt Co sea salt,,,,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,,,,Bart Sweet Smoked Paprika,,,,,,,,,,,,,,,,,,,,,,,,
842,65.4g,368kcal,5.9g,3.9g,1.5g,0.0g,11.4g,0.04g,,Cooks' ingredients saffron,,,,,,,,,,,,,,,,,,,,,,,,
843,5.2g,122kcal,8.6g,1.2g,4.7g,4.1g,5.2g,14.3g,,Knorr Organic Vegetable Stock Pot 4s,,,,,,,,,,,,,,,,,,,,,,,,
844,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,99.9g,,Essential Cooking Salt,,,,,,,,,,,,,,,,,,,,,,,,
845,12.0g,234kcal,19.3g,,1.8g,3.4g,2.2g,2.31g,,Bart Garlic Paste,,,,,,,,,,,,,,,,,,,,,,,,
846,0.6g,7kcal,0.5g,,0.2g,0g,0.1g,0.9g,,Kallo Organic Garlic & Herb 6 Stock Cubes,,,,,,,,,,,,,,,,,,,,,,,,
