,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
72,10.8g,83kcal,2.9g,1.8g,10.3g,3.9g,0.15g,Glenilen Farm Raspberry Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14.0g,124kcal,5.1g,3.3g,13.7g,5.4g,0.15g,The Collective Dairy Mango Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,12.2g,142kcal,6.6g,,9.4g,7.4g,0.2g,Müller Corner Skyr Raspberry & Hazelnut Granola Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,12.3g,145kcal,6.9g,,9.5g,7.5g,0.2g,Müller Corner Skyr Nuts & Chocolate Balls Granola Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13.0g,128kcal,6.9g,4.3g,13.0g,3.4g,0.1g,Rachel's Organic Cream Top Mango & Passion Fruit Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,12.7g,116kcal,5.6g,3.5g,12.5g,3.5g,0.1g,Rachel's Organic Luscious Peach Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14.2g,127kcal,5.5g,3.5g,14.2g,5.1g,0.14g,The Collective Dairy Passion Fruit Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13.0g,117kcal,5.7g,3.5g,12.8g,3.5g,0.1g,Rachel's Organic Luscious Cherry Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,25.7,220kcal,11.3,7.1,21.9,4.2,0.17,Cadbury Dairy Milk Pots of Joy,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,8.2g,70kcal,2.2g,0.4g,7.9g,3.7g,0.15g,Alpro Soya Blueberry & Cherry,120mg*,1.0g,0.75µg*,0.38µg*,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,8.4g,69kcal,1.9g,0.3g,8.1g,3.6g,0.09g,Alpro Soya No Bits Strawberry & Banana Peach & Pear,120mg*,0.9g,0.75µg*,0.38µg*,0.21mg*,12mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,8.3g,69kcal,2.1g,0.4g,8.2g,3.6g,0.25g,Alpro Soya Pineapple Passion & Peach,120mg*,0.9g,0.75µg*,0.38µg*,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,15.8g,102kcal,3.9g,3.4g,12.2g,0.6g,0.5g,Koko Dairy Free Raspberry,128mg,0.5g,0.75?g,0.38?g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.5g,63kcal,0.5g,0.4g,6.7g,6.3g,0.2g,Müller Light Greek Style Yogurts Coconut with Vanilla,210mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.9g,52kcal,2.1g,0.2g,4.8g,2.8g,0.09g,Benecol Vanilla Yogurt Drinks,,,,,,,0.51mg,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.1g,54kcal,0.2g,0.1g,3.6g,9.0g,0.12g,Ísey Skyr Baked Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7.4g,53kcal,<0.5g,0.1g,6.6g,4.9g,0.26g,Müller Light Cherry Fat Free Yogurt,134mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6.8g,125kcal,10g,9.8g,1.6g,1.2g,0.06g,The Coconut Collaborative Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8.8g,82kcal,2.7g,0.5g,8.2g,4.7g,0.31g,Alpro Soya Greek Style Strawberry Raspberry,96mg,1.5g,0.75µg,0.38µg,0.00mg,0.00mg,0.00mg,1.6g,0.11g,1.01mg,,,,,,,,,,,,,,,,,,,,,,,
91,9.1g,83kcal,2.7g,0.5g,8.1g,4.7g,0.43g,Alpro Soya Greek Style Mango,96mg,1.3g,0.60µg,0.30µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5.3g,198kcal,19g,16g,3.9g,1.6g,0.24g,Co Yo Strawberry Coconut Milk Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,14.7g,95kcal,2.3g,0.8g,11.8g,3.1g,0.13g,Alpro Soya Dark Chocolate Flavoured Dessert,120mg*,1.5g,0.75µg*,,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,12.7g,83kcal,2.0g,0.6g,10.1g,3.1g,0.14g,Alpro Soya Dessert Chocolate Flavoured,120mg*,1.2g,0.75µg*,,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,14.2g,87kcal,1.8g,0.3g,11.0g,3.2g,0.14g,Alpro Vanilla Flavour Soya Dessert,120mg*,0.5g,0.75µg*,0.38µg*,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,9.4g,108kcal,5.5g,3.8g,7.2g,4.9g,0.13g,The Collective Kefir Coconut Cultured Yoghurt,170mg,,,0.20µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10g,145kcal,10g,0.8g,4.1g,3.3g,0.11g,Oatly! Oatgurt Greek Style,131mg,0.9g,1.1µg,0.38µg,,,,,,,22.5µg,,,,,,,,,,,,,,,,,,,,,,
98,11g,84kcal,3.5g,0.3g,4.4g,1.5g,0.10g,Oatly! Oatgurt Plain,143mg,1.0g,1.1µg,0.38µg,,,,,,,22.5µg,,,,,,,,,,,,,,,,,,,,,,
99,4.4,43kcal,1.4,0.9,4.3,3.2,0.10,Activia Probiotics Drink Ginger,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.4,44kcal,1.4,0.9,4.3,3.2,0.10,Activia Probiotics Drink Turmeric,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9.6g,97kcal,4.3g,3.2g,7.8g,4.8g,0.14g,The Collective Kefir Mango Cultured Yoghurt,168mg,,,0.18µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4.7g,42kcal,2.4g,0.2g,3.9g,1.0g,0.1g,Biomel Almond Salted Caramel Shot,400mg*,0.6g,2.5µg*,,,,,,,,,0.7mg*,,,,,,,,,,,,,,,,,,,,,
103,8.2g,69kcal,0.2g,0.1g,6.3g,9g,0.17g,Hesper Cold Brew Coffee & Vanilla Skyr Yoghurt,124mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,15.38g,109kcal,3.84g,2.32g,14.82g,3.25g,0.1g,Bonne Maman Violet Fig Yoghurt,,0.47g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6.8g,69kcal,0.2g,0.1g,6.3g,9g,0.17g,Hesper Yorkshire Strawberry Skyr Yoghurt,124mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,19.3g,148kcal,5.6g,3.1g,15.7g,4.5g,0.2g,Müller Corner Strawberry Shortcake Yogurt,106mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,11.7g,147kcal,7.6g,3.1g,2.3g,7.4g,0.52g,Waitrose Italian Beef Lasagne,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,10.7g,126kcal,5.5g,2.7g,2.1g,7.9g,0.34g,"Waitrose Classics Chicken, Spinach & Leek Pie",,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
