,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
1767,32g,291kcal,13g,5.2g,1.5g,11g,1.2g,Chicago Town 2 Deep Dish Pizzas Pepperoni,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,34g,284kcal,11g,4.7g,1.5g,11g,0.82g,Chicago Town 2 Deep Dish Four Cheese Pizzas,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,32g,276kcal,11g,4.1g,1.8g,11g,1.0g,Chicago Town 2 Deep Dish Pizzas Mega Meaty,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,33g,291kcal,12g,7.0g,2.6g,12g,1.1g,Chicago Town Takeaway Four Cheese Melt Stuffed Crust,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,33g,295kcal,13g,6.6g,2.8g,11g,1.2g,Chicago Town Takeaway Pepperoni Sauce Stuffed Crust,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,28g,281kcal,14g,5.0g,2.6g,10g,1.5g,Dr. Oetker Ristorante Pizza Pepperoni-Salame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,25g,256kcal,13g,4.2g,2.1g,9.8g,0.98g,Dr. Oetker Mozzarella Ristorante Pizza,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,24g,265kcal,14g,6.2g,2.9g,11g,1.1g,Dr. Oetker Quattro Formaggi Ristorante Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,28g,226kcal,8.5g,2.9g,4.8g,8.8g,1.1g,Dr Oetker Hawaii Ristorante pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,26g,223kcal,9.0g,3.2g,2.5g,8.8g,1.0g,Dr. Oetker Ristorante Pizza Pollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,32.7g,290kcal,11.3g,4.5g,2.3g,12.6g,0.57g,Essential Cheese & Tomato Pizza,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,25g,246kcal,12g,3.4g,1.8g,8.0g,1.0g,Dr. Oetker Ristorante Pizza Funghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,26.8g,268kcal,11.7g,5.1g,1.8g,12.1g,0.75g,Waitrose Stone Baked Spinach & Goats Cheese Pizza,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,33.3g,303kcal,12.2g,4.3g,2.1g,13.0g,0.90g,Essential Pepperoni Pizza,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,30.6g,274kcal,11.2g,3.4g,3.7g,11.0g,0.88g,Waitrose Stone Baked Mozzarella & Cherry Tomato & Pesto Pizza,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,22g,208kcal,8.3g,3.2g,3.0g,9.6g,0.96g,Dr. Oetker Yes It's Pizza with a Spinach Base,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,27g,230kcal,"9,2g","5,0g","1,7g","7,5g","1,1g",Schär Gluten Free Bontà d'Italia Pizza Margherita,,"3,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,29.2g,258kcal,9.2g,3.5g,2.5g,13.0g,1.08g,Waitrose Stone Baked Pizza Milano Salami & Prosciutto Cotto,,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,43.3g,365kcal,16.0g,3.7g,0.0g,9.9g,0.75g,Essential Frozen 2 Thin & Crispy Garlic Bread Pizza,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,31g,336kcal,17g,8.8g,3.5g,13g,1.5g,Chicago Town Tiger Crust Double Pepperoni,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,37.0g,252kcal,9.2g,3.6g,4.2g,3.2g,0.81g,Whole Creations Dairy & Gluten Free Tomato & Basil Pizza,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,32g,333kcal,16g,9.2g,3.3g,14g,1.2g,Chicago Town Tiger Crust Cheese Medley,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,25g,247kcal,12g,"5,6g","1,6g","8,7g","1,4g",Schär Gluten Free Bontà d'Italia Pizza Salame,,"3,4g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,30.7g,311kcal,14.6g,5.3g,1.4g,12.7g,0.75g,Waitrose Cheese Feast Pizza,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,29.8g,319kcal,15.8g,4.7g,1.3g,13.2g,0.98g,Waitrose Spicy Pepperoni Feast Pizza,,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,22g,229kcal,11g,4.9g,2.1g,11g,0.99g,Dr.Oetker Ristorante Gluten& Lactose Free Pizza Mozzarella,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,29g,237kcal,8.7g,3.5g,3.8g,9.5g,1.3g,Dr. Oetker Momenti Salame Calabrese,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,39.4g,205kcal,1.3g,0.2g,0.1g,7.14g,1.42g,Northern Dough Co. Original Pizza Dough,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,42.6g,261kcal,5.5g,0.7g,2.9g,8.6g,0.73g,Waitrose 2 Stonebaked Pizza Bases,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,33.6g,193kcal,1.5g,0.2g,2.3g,11.2g,1.48g,Northern Dough Co. Wholemeal Pizza Dough,,6.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,34.3g,252kcal,10.3g,5.0g,2.3g,3.2g,1.16g,Whole Creations Dairy & Gluten Free Veggeroni Pizza,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,26.9g,346kcal,21.4g,9.9g,1.2g,11.3g,0.70g,Waitrose Frozen 10 Tempura King Prawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,27.1g,371kcal,24.8g,12.3g,0.9g,9.0g,1.03g,Waitrose Frozen 15 Cocktail Sausage Rolls,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,26.8g,250kcal,12.5g,4.9g,2.4g,6.5g,1.19g,Alesis Filo Spinach Twist Pie,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,30.4g,212kcal,5.6g,2.4g,2.2g,9.4g,0.85g,Waitrose Frozen 9 Mini Cheese & Tomato Pizzas,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,31.2g,322kcal,17.0g,6.3g,2.9g,10.4g,0.94g,Waitrose Frozen 10 Butterflied King Prawns,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,24.3g,271kcal,14.9g,7.6g,1.4g,9.9g,0.65g,Waitrose Frozen 10 Breaded King Prawns,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,17.9g,240kcal,14.8g,1.3g,3.2g,6.2g,0.85g,Waitrose Frozen 12 mini Indian snacks,,5.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,30.7g,288kcal,15.0g,4.5g,2.0g,6.7g,1.05g,Alesis Mini Filo Spinach Bites,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,28.9g,260kcal,13.1g,5.1g,4.0g,5.3g,0.72g,Waitrose Frozen 10 Oriental Vegetable Snacks,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,64g,371kcal,5.8g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Jumbo Oats,,8.3g,,,,,0.36mg,,,,,,,,,,,,3.6mg,,,,,,,,,,,,,,
1808,69g,362kcal,2.0g,0.6g,4.2g,12g,0.28g,Weetabix,,10g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1809,60g,374kcal,8.0g,1.5g,1.0g,11g,Trace,Scott's Porage Oats Original,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,59g,370kcal,7.7g,1.3g,1.0g,11g,0g,Quaker Oat So Simple Original 12s,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,65g,359kcal,2.6g,0.4g,14g,12g,0.68g,Kellogg's Bran Flakes,,14g,8.4µg,2.1µg,1.2mg,,0.91mg,,,,,1.2mg,,,,,,,11.6mg,,13.3mg,334µg,,,,,,,,,,,
1812,56.1g,367kcal,8.4g,1.3g,1.0g,12.1g,0.01g,Essential Porridge Oats,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,82g,398kcal,4.5g,0.7g,35g,6g,0.75g,Kellogg's Crunchy Nut,,2.5g,8.4µg,2.1µg,1.2mg,,0.91mg,,,,,1.2mg,,,,,,,8.0mg,,13.3mg,334µg,,,,,,,,,,,
1814,60g,374kcal,8.0g,1.5g,1.1g,11g,0g,Quaker Rolled Oats,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,57.5g,386kcal,11.5g,3.7g,19.1g,8.9g,0.03g,Essential Fruit & Nut Muesli,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,70g,358kcal,2.0g,0.6g,4.4g,10g,0.28g,Weetabix,,10g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,64g,395kcal,8.0g,1.3g,3.2g,13g,0.28g,Weetabix Oatibix,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,60.0g,374kcal,8g,1.5g,1.1g,11g,Trace,Scott's Porage Oats Old Fashioned,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,71g,391kcal,5.4g,2.6g,21g,9.8g,0.18g,Weetabix Crispy Minis Chocolate Chip,,9.4g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1820,67g,405kcal,8.6g,1.4g,14g,11g,0.28g,Weetabix Oatibix Flakes,,8.0g,,2.1µg,1.2mg,,0.94mg,,,,,1.2mg,,,,,,,12mg,,14mg,170µg,5.1mg,,,,,,,,,,
1821,66.3g,359kcal,2.5g,0.6g,10.8g,10.6g,0.68g,Essential Bran Flakes,,14.6g,74% of NRV,72% of NRV,71% of NRV,,73% of NRV,,,73% of NRV,,71% of NRV,,,,,,,71% of NRV,,75% of NRV,73% of NRV,73% of NRV,,,,,,,,,,
1822,64g,371kcal,5.8g,1.0g,0.9g,11g,<0.01,Flahavan's porridge oats,,8.3g,,,,,0.36mg,,,,,,,,,,,,3.6mg,,,,,,,,,,,,,,
1823,59g,370kcal,7.7g,1.3g,1.0g,11g,0g,Quaker Oat So Simple Big Bowl Original 6s,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,68.0g,358kcal,2.0g,0.6g,4.4g,12.0g,0.28g,Essential Wholewheat Biscuits,,10.0g,,,86% of NRV,,85% of NRV,,,,,,,,,,,,86% of NRV,,88% of NRV,85% of NRV,,,,,,,,,,,
1825,68.5g,383kcal,6.6g,4.1g,21.0g,7.8g,0.43g,Essential Fruit & Fibre Wheat Flakes,,9.3g,74% of NRV,72% of NRV,71% of NRV,,73% of NRV,,,73% of NRV,,71% of NRV,,,,,,,71% of NRV,,75% of NRV,73% of NRV,73% of NRV,,,,,,,,,,
1826,63g,369kcal,5.8g,0.9g,16g,12g,0.28g,Alpen No Added Sugar Swiss Style Muesli,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,84g,378kcal,0.9g,0.2g,8g,7g,1.13g,Kellogg's Corn Flakes,,3g,8.4µg,2.1µg,1.2mg,,0.91mg,,,,,1.2mg,,,,,,,8.0mg,,13.3mg,166µg,,,,,,,,,,,
1828,49.3g,496kcal,26.4g,3.8g,12.1g,11.6g,0.11g,Dorset Cereals Nutty Granola,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,71g,398kcal,7.4g,1.0g,19g,8.7g,0.50g,Quaker Oat So Simple Golden Syrup 10s,,5.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,58g,374kcal,8.7g,1.2g,1.0g,12g,0.03g,Ready Brek Original Smooth Porridge Oats,1340mg,7.9g,4.3µg,2.1µg,1.2mg,,0.94mg,,,,,1.2mg,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1831,85.2g,387kcal,1.2g,0.3g,6.1g,7.7g,0.59g,Essential Corn Flakes,,2.5g,100% of NRV,100% of NRV,100% of NRV,,100% of NRV,,,,,100% of NRV,,,,,,,100% of NRV,,100% of NRV,200% of NRV,100% of NRV,,,,,,,,,,
1832,43.2g,524kcal,31.3g,3.3g,13.5g,13.7g,0.05g,Dorset Cereals Honey Granola,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,62.6g,354kcal,3.6g,0.7g,15.8g,12.0g,0.03g,Jordans Natural Muesli,,11.6g,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,
1834,48g,334kcal,3.5g,0.7g,18g,14g,0.95g,Kellogg's All-Bran Original,,27g,6.3µg,1.6µg,0.88mg,,0.69mg,,,,,0.88mg,,,,,,,8.8mg,,10mg,250µg,,,,,,,,,,,
1835,79g,375kcal,1.5g,0.3g,15g,9g,1g,Kellogg's Special K Original,,4.5g,8.4µg,2.1µg,2.3mg,,1.8mg,,,,,1.2mg,,,,,,,11.6mg,8.4mg,13.4mg,334µg,,,,,,,,,,,
1836,63.1g,411kcal,11.1g,3.3g,21.2g,10.6g,0.03g,"Waitrose Raisin, Almond & Honey Granola",,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,79g,376kcal,1.5g,0.3g,17g,8.9g,0.95g,Kellogg's Special K Red Berries,,5.3g,8.0µg,2.0µg,2.2mg,,1.7mg,,,,,1.1mg,,,,,,,11.1mg,7.90mg,12.6mg,318µg,,,,,,,,,,,
1838,60g,374kcal,8.0g,1.5g,1.1g,11g,0g,Quaker Jumbo Rolled Oats,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,56.1g,367kcal,8.4g,1.3g,1.0g,12.1g,0.01g,Waitrose Duchy Jumbo Rolled Oats,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,69g,362kcal,2.0g,0.6g,4.2g,12g,0.28g,Weetabix Biscuits,,10g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1841,58.7g,466kcal,20.1g,2.0g,16.0g,9.5g,0.20g,Dorset Cereals Simply Oat Granola,,6.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,67g,360kcal,2.2g,0.5g,0.7g,12g,0.05g,Shredded Wheat,,12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,68g,371kcal,5.7g,0.9g,26g,8.3g,0.23g,"Quaker Oat So Simple Sultanas, Raisins Cranberry, Apple 10s",,6.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,70g,364kcal,1.8g,0.3g,13g,11g,0.72g,Nestlé Shreddies,,12g,,,0.90mg,,,,,,,0.99mg,,,,,,,7.6mg,,11mg,110µg,3.8mg,,,,,,,,,,
1845,67g,360kcal,2.2g,0.5g,0.7g,12g,0.05g,Nestlé Shredded Wheat Biscuits,,12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,69g,380kcal,6g,3.5g,24g,8g,1g,Kellogg's Fruit'n Fibre,,9g,6.3µg,1.6µg,0.88mg,,0.69mg,,,,,0.88mg,,,,,,,8.8mg,,10.1mg,250µg,,,,,,,,,,,
1847,66g,374kcal,5.6g,0.9g,21g,11g,0.25g,Alpen The Original Swiss Style Muesli,,7.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,82g,398kcal,4.5g,0.7g,35g,6g,0.75g,Kellogg's Crunchy Nut,,2.5g,8.4µg,2.1µg,1.2mg,,0.91mg,,,,,1.2mg,,,,,,,8.0mg,,13.3mg,334µg,,,,,,,,,,,
1849,71.3g,335kcal,1.4g,0.3g,16.5g,8.0g,0.15g,Essential Wholegrain Apricot Wheats,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,73.5g,378kcal,3.6g,0.7g,22.4g,8.7g,0.81g,Nestlé Honey Cheerios,502mg,8.4g,2.5µg,,0.89mg,55mg,,,,,,0.92mg,,,,,,,10mg,,11mg,180µg,3.3mg,,,,,,,,,,
1851,70g,364kcal,1.8g,0.3g,13g,11g,0.72g,Nestlé Shreddies,,12g,,,0.90mg,,,,,,,0.99mg,,,,,,,7.6mg,,11mg,110µg,3.8mg,,,,,,,,,,
1852,70.8g,333kcal,1.4g,0.3g,17.0g,7.9g,0.14g,Essential Blueberry Wheats,,8.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,54.2g,482kcal,23.4g,2.8g,15.0g,10.8g,0.20g,Dorset Cereals Berry Granola,,5.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,63g,369kcal,5.8g,0.9g,16g,12g,0.28g,Alpen No Added Sugar Swiss Style Muesli,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,67g,403kcal,8.3g,1.4g,16g,11g,0.28g,Weetabix Oatibix Flakes Red Berries,,8.1g,,2.0µg,1.1mg,,0.89mg,,,,,1.1mg,,,,,,,11mg,,13mg,162µg,4.9mg,,,,,,,,,,
1856,79g,376kcal,1.5g,0.3g,17g,8.9g,0.95g,Kellogg's Special K Red Berries,,5.3g,8.0µg,2.0µg,2.2mg,,1.7mg,,,,,1.1mg,,,,,,,11mg,7.9mg,13mg,318µg,,,,,,,,,,,
1857,75g,386kcal,4.3g,0.7g,19g,8.4g,0.20g,Weetabix Weetos Chocolatey Hoops,,6.8g,4.3µg,2.1µg,1.2mg,,0.94mg,,,,,1.2mg,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1858,71g,398kcal,7.4g,1.0g,19g,8.7g,0.50g,Quaker Oat So Simple Big Bowl Golden Syrup 6s,,5.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,68g,378kcal,6.2g,1.2g,21g,8.6g,0.20g,"Quaker Oat So Simple Apple, Blueberry 10s",,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,54.4g,415kcal,14.3g,2.0g,8.4g,13.2g,0.03g,Dorset Cereals Gloriously Nutty Muesli,,8.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,66.6g,344kcal,3.8g,1.2g,28.6g,6.8g,0.08g,Essential Fruit Muesli,,8.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,65.2g,416kcal,11.2g,4.3g,20.1g,9.6g,0.03g,Waitrose Oat Crunchy Blueberry &Cranberry,,8.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,68g,366kcal,3.8g,1.6g,17g,10g,0.18g,Weetabix Chocolate,,10g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1864,59g,449kcal,18g,1.9g,12g,8.5g,0.2g,"W.K Kellogg Coconut, Cashew & Almond Granola",,8.5g,,,,,,,,,,,,,,,,,,,,,,,87mg,,,,,,,,
1865,69g,367kcal,2.2g,0.5g,0.7g,12g,0.05g,Nestlé Bitesize Shredded Wheat,,13g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,66g,399kcal,7.9g,1.4g,4.7g,11g,0.88g,Nestlé Low Sugar Oat Cheerios,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,56.1g,367kcal,8.4g,1.3g,1.0g,12.1g,<0.01g,Mornflake Scottish Jumbo Oats,,9.1g,,,,,,,,,,,,,,3.4mg,,,,2.1mg,,,,,,,,,,,,,
1868,69g,367kcal,2.2g,0.5g,0.7g,12g,0.05g,Nestlé Shredded Wheat Bitesize,,13g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,86g,387kcal,1.2g,0.4g,7.9g,7g,1g,Kellogg's Rice Krispies,,2.0g,8.4µg,2.1µg,1.2mg,,0.91mg,,,,,1.2mg,,,,,,,8.0mg,,13.3mg,166µg,,,,,,,,,,,
1870,71.2g,382kcal,4.7g,0.9g,17.6g,9.4g,0.84g,Nestlé Cheerios,525mg,8.9g,2.5µg,,0.94mg,40mg,,,,,,0.96mg,,,,,,,13mg,,12mg,163µg,3.4mg,,,,,,,,,,
1871,64.7g,419kcal,12.1g,6.4g,24.3g,8.6g,0.05g,"Waitrose Banana, Papaya & Honey Granola",,8.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,61.5g,369kcal,8.1g,3.1g,23.9g,8.5g,0.03g,Jordans Fruit & Nut Muesli,,8.1g,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,
1873,65.6g,344kcal,2.3g,0.5g,25.6g,8.6g,0.48g,Essential Sultana Bran,,13.0g,74% of NRV,72% of NRV,71% of NRV,,73% of NRV,,,73% of NRV,,71% of NRV,,,,,,,71% of NRV,,75% of NRV,73% of NRV,73% of NRV,,,,,,,,,,
1874,68.4g,349kcal,2.9g,0.6g,20.1g,8.6g,0.05g,Dorset Cereals Simply Fruity Muesli,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,68,359kcal,2.1,0.4,8.6,11,1.04,Post Grape-Nuts,,12,,,,,0.83mg,,,,,2.34mg,,,,,,,27.9mg,5.69mg,12.4mg,372.41µg,,,95.72mg,,,,,,,,
1876,85.1g,385kcal,1.2g,0.4g,8.8g,7.5g,0.73g,Essential Rice Pops,,1.6g,100% of NRV,100% of NRV,100% of NRV,,100% of NRV,,,,,100% of NRV,,,,,,,100% of NRV,,100% of NRV,100% of NRV,100% of NRV,,,,,,,,,,
1877,66g,373kcal,5.1g,0.9g,29g,14g,0.55g,Quaker Oat So Simple Pot Golden Syrup,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,64.4g,376kcal,6.8g,1.1g,14.2g,9.9g,0.03g,Dorset Cereals Simply Nutty Muesli,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,69g,362kcal,2.0g,0.6g,4.2g,12g,0.28g,Weetabix,,10g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1880,61.5g,368kcal,7.3g,1.1g,14.7g,9.6g,0.03g,Dorset Cereals Simply Delicious Muesli,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,45.2g,501kcal,27.1g,4.2g,3.8g,14.2g,0.02g,Lizi's Low Sugar Granola,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,59g,370kcal,7.7g,1.3g,1.0g,11g,0g,Quaker Oat So Simple Original 20s,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,62g,365kcal,2.4g,0.4g,4.7g,19g,0.23g,Weetabix Protein,,9.9g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1884,69g,362kcal,2.0g,0.6g,4.4g,12g,0.28g,Weetabix,,10g,,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1885,74.9g,382kcal,2.8g,0.7g,15.6g,9.7g,0.42g,Essential Multigrain Hoops,,9.4g,100% of NRV,100% of NRV,100% of NRV,,100% of NRV,,,,,100% of NRV,,,,,,,100% of NRV,,100% of NRV,50% of NRV,100% of NRV,,,,,,,,,,
1886,64g,371kcal,5.8g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Porridge Oats Original,,8.3g,,,,,0.36mg,,,,,,,,,,,,3.6mg,,,,,,,,,,,,,,
1887,58g,370kcal,7.2g,1.3g,1.0g,13g,0.01g,Quaker Oat So Simple Gluten Free 10s,,9.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,67g,379kcal,6.6g,1.2g,19g,9.0g,0g,Quaker Oat So Simple Sweet Cinnamon 10s,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,61.9g,425kcal,13.6g,2.6g,17.2g,10.4g,0.03g,Jordans Super Berry Granola,,7.0g,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,
1890,78g,387kcal,2.4g,0.8g,12g,10g,0.13g,BEAR Alphabites Coco Cereal,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,69g,374kcal,3.9g,0.7g,18g,11g,0.17g,Weetabix Crispy Minis Fruit & Nut,,9.6g,4.3µg,,1.2mg,,0.94mg,,,,,,,,,,,,12mg,,14mg,170µg,,,,,,,,,,,
1892,56.0g,355kcal,6.3g,1.0g,1.1g,12.9g,0.03g,Essential Porridge Oats With Wheatbran,,11.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,47.3g,364kcal,9.4g,1.8g,1.2g,13.4g,<0.01g,Mornflake Oatbran,,18.2g,,,,,,,,,,,,,,4.7mg,,,,3.0mg,,101µg,,52µg,,,,,,,,,
1894,71.2g,382kcal,4.7g,0.9g,17.6g,9.4g,0.84g,Nestlé Multigrain Cheerios,525mg,8.9g,2.5µg,,0.94mg,40mg,,,,,,0.96mg,,,,,,,13mg,,12mg,163µg,3.4mg,,,,,,,,,,
1895,56.6g,470kcal,20.6g,3.7g,15.2g,11.5g,0.03g,Jordans Super Nutty Granola,,6.5g,,,,,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,
1896,58.7g,477kcal,21.2g,5.2g,18.9g,9.6g,0.03g,Jordans Country Crisp Chunky Nuts,,6.3g,,,,,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,
1897,64g,371kcal,5.8g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Quick Oats Original,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,61.9g,451kcal,16.8g,3.6g,15.9g,9.8g,0.10g,Dorset Cereals Chocolate & Cherry Granola,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,61.2g,374kcal,8.1g,1.1g,13.2g,9.6g,0.03g,Waitrose Duchy Muesli with Raisins & Almonds,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,51.2g,404kcal,15.0g,3.0g,16.9g,11.6g,0.03g,Dorset Cereals Fantastically Fruity Muesli,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,66.5g,445kcal,14.9g,4.7g,20.8g,8.1g,0.03g,Jordans Country Crisp Strawberry,,6.4g,,,,,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,
1902,63.6g,358kcal,6.8g,1.2g,1.0g,6.7g,0.01g,Jordans Organic Porridge Chunky Whole Oats,,7.9g,,,,,,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,
